-agu:-ugaseru
しのぶ	忍ぶ	しのばせる	忍ばせる
ほころぶ	ほころぶ	ほころばせる	ほころばせる
ほころぶ	綻ぶ	ほころばせる	綻ばせる
すむ	すむ	すませる	すませる
すむ	済む	すませる	済ませる
すむ	澄む	すませる	澄ませる
からむ	からむ	からませる	からませる
からむ	絡む	からませる	絡ませる
くらむ	くらむ	くらませる	くらませる
ふくらむ	ふくらむ	ふくらませる	ふくらませる
ふくらむ	脹らむ	ふくらませる	脹らませる
ふくらむ	膨らむ	ふくらませる	膨らませる
くらむ	暗む	くらませる	暗ませる
くらむ	眩む	くらませる	眩ませる
まいる	参る	まいらせる	参らせる
いかる	怒る	いからせる	怒らせる
めぐる	めぐる	めぐらせる	めぐらせる
めぐる	巡る	めぐらせる	巡らせる
めぐる	廻る	めぐらせる	廻らせる
しる	知る	しらせる	知らせる
そる	そる	そらせる	そらせる
そる	反る	そらせる	反らせる
とる	取る	とらせる	取らせる
つのる	つのる	つのらせる	つのらせる
つのる	募る	つのらせる	募らせる
-u:-asimeru
こりる	懲りる	こらしめる	懲らしめる
-u:-asu
あう	合う	あわす	合わす
におう	におう	におわす	におわす
におう	匂う	におわす	匂わす
におう	臭う	におわす	臭わす
くう	食う	くわす	食わす
まどう	惑う	まどわす	惑わす
すまう	住まう	すまわす	住まわす
くらう	くらう	くらわす	くらわす
くらう	食らう	くらわす	食らわす
わずらう	わずらう	わずらわす	わずらわす
わずらう	煩う	わずらわす	煩わす
わらう	笑う	わらわす	笑わす
うく	浮く	うかす	浮かす
かく	欠く	かかす	欠かす
うごく	動く	うごかす	動かす
せく	せく	せかす	せかす
せく	急く	せかす	急かす
ばたつく	ばたつく	ばたつかす	ばたつかす
ばたつく	バタつく	ばたつかす	バタつかす
ちらつく	ちらつく	ちらつかす	ちらつかす
ちらつく	チラつく	ちらつかす	チラつかす
とく	とく	とかす	とかす
とく	溶く	とかす	溶かす
とく	解く	とかす	解かす
どく	どく	どかす	どかす
どく	退く	どかす	退かす
ぬく	抜く	ぬかす	抜かす
なびく	靡く	なびかす	靡かす
